SCCRI03F - Juízo Federal da 3ª VF de Criciúma;81;79;94;12;77;741
SCCRI03S - Juízo Substituto da 3ª VF de Criciúma;78;67;71;4;83;746
SCCRICEMA - CENTRAL DE MANDADOS - CRICIÚMA;5;4;0;0;0;3
SCCRI04F - Juízo Federal da 4ª VF de Criciúma;23;13;38;15;16;372
SCCRI04S - Juízo Substituto da 4ª VF de Criciúma;20;14;31;20;10;362
SCCRICEJUA - JUÍZO A DO CEJUSCON DE CRICIÚMA;0;0;0;0;0;1
Total 04 - CRICIÚMA 01/2018 e-ProcV2;370;421;319;53;344;3633
05 - BLUMENAU
SCBLU01F - Juízo Federal da 1ª VF de Blumenau;9;17;20;46;34;309
SCBLU01S - Juízo Substituto da 1ª VF de Blumenau;19;11;0;97;44;365
SCBLU03F - Juízo Federal da 3ª VF de Blumenau;84;102;81;6;92;1022
SCBLU03S - Juízo Substituto da 3ª VF de Blumenau;86;127;72;16;134;1089
SCBLU02F - Juízo Federal da 2ª VF de Blumenau;21;42;10;58;57;396
SCBLU02S - Juízo Substituto da 2ª VF de Blumenau;22;35;17;53;38;360
SCBLU04F - Juízo Federal da 4ª VF de Blumenau;91;110;98;8;30;953
SCBLU04S - Juízo Substituto da 4ª VF de Blumenau;91;86;87;7;23;1031
Total 05 - BLUMENAU 01/2018 e-ProcV2;423;530;385;291;452;5525
06 - LAGES
SCLAG01F - Juízo Federal da 1ª VF de Lages;2;10;2;6;9;82
SCLAG01S - Juízo Substituto da 1ª VF de Lages;3;9;5;3;7;84
SCLAG02F - Juízo Federal da 2ª VF de Lages;171;167;97;56;205;1925
SCLAG02S - Juízo Substituto da 2ª VF de Lages;174;154;82;54;210;1954
SCLAGCEMA - CENTRAL DE MANDADOS - LAGES;16;22;0;0;0;26
SCLAGCEJUA - JUÍZO A DO CEJUSCON DE LAGES;0;0;0;0;0;235
Total 06 - LAGES 01/2018 e-ProcV2;366;362;186;119;431;4306
07 - TUBARÃO
SCTUB02F - Juízo Federal da 2ª VF de Tubarão;123;219;88;1;159;1326
SCTUB02S - Juízo Substituto da 2ª VF de Tubarão;122;219;114;10;155;1402
Total 07 - TUBARÃO 01/2018 e-ProcV2;245;438;202;11;314;2728
08 - ITAJAÍ
SCITA02F - Juízo Federal da 2ª VF de Itajaí;15;4;6;5;19;176
SCITA02S - Juízo Substituto da 2ª VF de Itajaí;12;9;6;10;22;188
SCITA03F - Juízo Federal da 3ª VF de Itajaí;12;7;4;1;14;141
SCITA03S - Juízo Substituto da 3ª VF de Itajaí;9;2;18;4;16;140
SCITACEMA - CENTRAL DE MANDADOS - ITAJAÍ;3;0;0;0;0;3
SCITA04F - Juízo Federal da 4ª VF de Itajaí;197;348;282;13;52;2084
SCITA04S - Juízo Substituto da 4ª VF de Itajaí;200;333;294;16;50;2067
